wallet,total_abit,total_wei,claims,cartridges,first_claim_at,last_claim_at
0x6d883607354a8debfee24402cdebeeb616da2666,180002,180002446744073709551614,2637,3,2025-10-01T20:30:00.000Z,2025-10-03T20:00:00.007Z
0xac46cc2af806d4e793de60dfeafbcc0cf0b21b42,135674,135674446744073709551614,1996,3,2025-10-01T22:15:00.753Z,2025-10-02T12:20:00.005Z
0x8aa100811605777acf27ee5c56963f214f1dd9c7,115210,115210446744073709551614,1690,3,2025-10-01T23:00:00.001Z,2025-10-03T20:08:49.111Z
0xbf7ab53643b1458c9fd7642ca75c6bc648b50d83,102706,102706446744073709551614,1494,3,2025-10-01T20:05:41.156Z,2025-10-03T19:50:00.007Z
0xcaee94163b052e1cb9bf248852c8e263f9a6e1be,83848,83848000000000000000000,1247,2,2025-10-02T02:20:00.000Z,2025-10-03T20:00:00.007Z
0x4a17945203cad1a92de232d1cfc49fa228fb49da,81034,81034446744073709551614,1231,3,2025-10-01T20:05:41.156Z,2025-10-03T04:40:00.003Z
0xc8aa0e96d8a60190d207194a3280878b8bea947c,74586,74586446744073709551614,1129,4,2025-10-01T20:30:00.000Z,2025-10-03T20:08:49.111Z
0xb554824538b3634b1377492e532f1ae101b61015,73130,73130446744073709551614,1087,5,2025-10-01T20:09:59.999Z,2025-10-03T18:40:00.005Z
0xd0d4e4a64006934e7fbda89170b8072eb74cc414,69002,69002446744073709551614,998,4,2025-10-01T20:05:41.156Z,2025-10-03T20:08:49.111Z
0x950ac23af582ffa36d7cc6965e38bdae48df3883,51882,51882446744073709551614,732,3,2025-10-01T20:05:41.156Z,2025-10-03T20:00:00.007Z
0xf4a33183e6cc237a665c621a81d2d514a3156850,37560,37560000000000000000000,537,2,2025-10-01T22:40:00.001Z,2025-10-03T04:00:00.003Z
0x6a1b4fc3cead3fc4bb73e3f054f3a9c667cd83b4,36560,36560000000000000000000,535,2,2025-10-01T21:47:27.412Z,2025-10-03T19:50:00.007Z
0xb7130b42b8c62e14fd614e91ab9c6c194040d9ab,36104,36104000000000000000000,549,2,2025-10-03T14:10:00.003Z,2025-10-03T20:08:49.111Z
0x802d458b40d2576c2e608fa640bdc884a9198ade,28584,28584000000000000000000,417,2,2025-10-03T16:40:00.004Z,2025-10-03T20:08:49.111Z
0x1b56e658b45195efd39c4bf62f2f3695166edace,26618,26618446744073709551614,398,3,2025-10-01T20:05:41.156Z,2025-10-03T04:20:00.003Z
0x0330b487e64684d2ff5a8e71e309b5e3c05af782,25730,25730446744073709551614,370,3,2025-10-01T20:15:51.863Z,2025-10-03T15:10:00.003Z
0x682e4f88aa0739c19898c98003817c37c5451573,24706,24706446744073709551614,360,3,2025-10-01T20:30:00.000Z,2025-10-03T20:08:49.111Z
